Minute	Commentary
97	Plenty of chances in this game but neither team could score the decisive goal
97	That's it! The referee blows the final whistle
97	Ball possession: Tottenham: 44%, Liverpool: 56%.
96	James Milner relieves the pressure with a clearance
96	Poor play by Trent Alexander-Arnold as his weak attempt to clear the ball puts his side under pressure
96	Oliver Skipp puts in a cross...
95	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
95	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
95	Konstantinos Tsimikas from Liverpool receives a yellow card for time wasting.
95	Ball possession: Tottenham: 43%, Liverpool: 57%.
94	Konstantinos Tsimikas from Liverpool sees his pass blocked by an opponent.
94	Liverpool with a potentially dangerous attack.
94	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
93	Harry Kane from Tottenham is ruled offside.
93	Could be a good chance here as Emerson Royal from Tottenham cuts the opponents defense open with a through ball...
93	Tottenham is trying to create something here.
93	Ben Davies relieves the pressure with a clearance
93	Konstantinos Tsimikas puts in a cross...
92	Goal kick for Liverpool.
92	Liverpool with a clear defensive substitution as Diogo Jota comes off for the more defensively minded Joseph Gomez
92	Diogo Jota is leaving the field to be replaced by Joseph Gomez in a tactical substitution.
92	Harry Winks from Tottenham crosses the ball, but it goes out for a goal kick.
91	The fourth official shows there are 6 minute(s) of time to be added.
90	Joel Matip relieves the pressure with a clearance
90	Emerson Royal puts in a cross...
90	Safe hands from Hugo Lloris as he comes out and claims the ball
90	James Milner puts in a cross...
90	Ball possession: Tottenham: 42%, Liverpool: 58%.
89	Liverpool is in control of the ball.
89	Tottenham is in control of the ball.
88	Liverpool is in control of the ball.
88	Tottenham is in control of the ball.
87	The referee signals a free kick as Diogo Jota from Liverpool trips Ben Davies
87	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
87	Goal kick for Liverpool.
86	Ryan Sessegnon is leaving the field to be replaced by Sergio Reguilon in a tactical substitution.
86	Heung-Min Son from Tottenham tries to pass the ball to a teammate, but its nowehere near the intended target.
86	Heung-Min Son from Tottenham takes a short corner kick from the left.
86	Ibrahima Konate clears the danger but is forced to give away a corner...
86	Ben Davies from Tottenham directs a ball squarely in the box, but it's intercepted by an opponent player.
86	Could be a good chance here as Heung-Min Son from Tottenham cuts the opponents defense open with a through ball...
85	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
85	The referee runs back to show Ibrahima Konate from Liverpool a yellow card for the previous foul.
85	Emerson Royal from Tottenham directs the ball behind the defence, but it's intercepted by an opponent player.
85	Tottenham is trying to create something here.
85	Ball possession: Tottenham: 40%, Liverpool: 60%.
84	The referee is not having the complaints from Naby Keita who is given a yellow card for dissent
84	Ryan Sessegnon from Tottenham commits a foul by elbowing Naby Keita
84	Emerson Royal from Tottenham makes a good pass into the box, but his team mates fail to take advantage of the space
84	Tottenham is trying to create something here.
83	Danger averted there as James Milner from Liverpool clears the danger with a good tackle
83	Joel Matip could cost his team a goal after a defensive blunder.
82	Tottenham take a throw-in at the left side of the pitch in the opponent's half of the field
82	Liverpool with a clear defensive substitution as Sadio Mane comes off for the more defensively minded Konstantinos Tsimikas
82	Sadio Mane is leaving the field to be replaced by Konstantinos Tsimikas in a tactical substitution.
81	Liverpool take a throw-in at the right side of the pitch in their own half of the field
81	Dele Alli is leaving the field to be replaced by Lucas Moura in a tactical substitution.
80	Ryan Sessegnon from Tottenham makes an aerial pass in the box, but it's intercepted by an opponent player.
80	Tottenham with a potentially dangerous attack.
80	The referee signals a free kick as Sadio Mane from Liverpool trips Harry Kane
80	Ball possession: Tottenham: 38%, Liverpool: 62%.
80	Liverpool take a throw-in at the right side of the pitch in their own half of the field
79	Today's attendance is 45421.
78	The game is restarted.
77	SENT OFF! - After a serious foul Andrew Robertson is dismissed!
